Paralogue_Pair1,RCC_scA,RCC_scB,Duplication type1,9_Supercluster_Class,36_RCC_Class,scA_RCC-u?,scB_RCC-u?,Morphological Differentiation2,Ka,Ks,Ka/Ks,scA_Orthogroup3,scB_paralogue3,scA_Orthogroup_rank3,scB_Orthogroup_rank3,Pair_Orthogroup_rank,scA_subgenome4,scB_subgenome4
AT1G23950/AT1G22090,AT1G23950,AT1G22090,Transposed<16MYA,3,3,yes,no,NA,0.552630649,0.527017904,1.048599382,NA,NA,NA,NA,NA,?,?
AT1G23950/AT1G28500,AT1G23950,AT1G28500,Transposed<16MYA,3,3,yes,no,NA,0.368853416,0.320628426,1.15040772,NA,NA,NA,NA,NA,?,?
AT1G23950/AT1G02770,AT1G23950,AT1G02770,Transposed<16MYA,3,3,yes,no,NA,0.498247198,0.408405862,1.219980526,NA,NA,NA,NA,NA,?,?
AT1G24062/AT5G54215,AT1G24062,AT5G54215,Transposed<16MYA,0,0,no,no,NA,0.449278906,0.73800076,0.608778379,NA,NA,NA,NA,NA,?,?
AT1G24240/AT5G11750,AT1G24240,AT5G11750,Transposed<16MYA,3,3,yes,no,NA,0.038543457,0.130974435,0.294282294,NA,ORTHO005360,NA,6135,6135,?,?
AT1G25141/AT3G25460,AT1G25141,AT3G25460,Transposed<16MYA,0,0,no,no,NA,0.422551338,0.355325521,1.189195015,NA,NA,NA,NA,NA,?,?
AT1G25350/AT5G19720,AT1G25350,AT5G19720,Transposed<16MYA,1,1,no,no,NA,0.247313152,0.107762272,2.294988297,ORTHO003216,NA,3174,NA,3174,?,?
AT1G26540/AT2G47230,AT1G26540,AT2G47230,Transposed<16MYA,2,2,no,no,NA,0.249372139,0.458027962,0.544447413,NA,NA,NA,NA,NA,?,?
AT1G26665/AT5G41910,AT1G26665,AT5G41910,Transposed<16MYA,2,2,yes,yes,NA,0.117495432,0.441654552,0.26603469,ORTHO006393,ORTHO006393,7058,7058,7058,?,?
AT1G26730/AT1G35350,AT1G26730,AT1G35350,Transposed<16MYA,4,4,no,no,NA,0.06849702,0.329154002,0.208100218,NA,NA,NA,NA,NA,B,?
AT1G27000/AT1G44674,AT1G27000,AT1G44674,Transposed<16MYA,NA,NA,yes,no,NA,NA,NA,NA,ORTHO007695,NA,6455,NA,6455,?,?
AT1G27090/AT3G24690,AT1G27090,AT3G24690,Transposed<16MYA,1,1,no,no,NA,0.834462253,0.375521179,2.222144314,ORTHO004779,NA,3483,NA,3483,?,?
AT1G27135/AT1G10710,AT1G27135,AT1G10710,Transposed<16MYA,1,1,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G27595/AT5G01400,AT1G27595,AT5G01400,Transposed<16MYA,2,2,no,yes,NA,0.707985346,1.535111263,0.461194809,ORTHO001537_2,ORTHO001537_1,7060,7952,NA,?,?
AT1G27840/AT1G19750,AT1G27840,AT1G19750,Transposed<16MYA,3,3,yes,no,NA,0.035818794,0.107055881,0.334580346,ORTHO008589,ORTHO008589,7455,7455,7455,?,?
AT1G27870/AT2G33160,AT1G27870,AT2G33160,Transposed<16MYA,1,1,no,no,NA,0.44098508,0.446934054,0.98668937,NA,NA,NA,NA,NA,?,?
AT1G27910/AT1G15165,AT1G27910,AT1G15165,Transposed<16MYA,3,3,no,no,NA,NA,NA,NA,ORTHO001704,NA,237,NA,237,?,?
AT1G28030/AT4G03070,AT1G28030,AT4G03070,Transposed<16MYA,3,2,no,no,NA,0.415476798,1.410864008,0.294483945,NA,NA,NA,NA,NA,?,?
AT1G28040/AT2G46494,AT1G28040,AT2G46494,Transposed<16MYA,2,2,no,no,NA,0.25805914,0.399596789,0.645798834,NA,NA,NA,NA,NA,?,?
AT1G28060/AT3G55930,AT1G28060,AT3G55930,Transposed<16MYA,3,3,no,no,NA,0.157740036,0.149373883,1.056008136,ORTHO003568,ORTHO003568,4023,4023,4023,?,?
AT1G28430/AT3G20140,AT1G28430,AT3G20140,Transposed<16MYA,1,1,no,no,NA,0.2809098,0.992201836,0.283117598,NA,NA,NA,NA,NA,?,?
AT1G28570/AT1G31550,AT1G28570,AT1G31550,Transposed<16MYA,1,1,no,no,NA,0.187766684,0.623958223,0.300928295,NA,NA,NA,NA,NA,?,?
AT1G28760/AT5G67610,AT1G28760,AT5G67610,Transposed<16MYA,2,2,no,yes,NA,0.833108647,1.842157456,0.452246166,ORTHO006934,NA,3665,NA,3665,?,?
AT1G29200/AT1G11990,AT1G29200,AT1G11990,Transposed<16MYA,3,3,no,no,NA,0.46216978,2.217267266,0.208441169,ORTHO001265_2,NA,4572,NA,4572,?,?
AT1G29260/AT4G35050,AT1G29260,AT4G35050,Transposed<16MYA,3,3,yes,no,NA,1.081600767,2.215228543,0.488256966,ORTHO008115,ORTHO006261,3854,2503,NA,?,?
AT1G29350/AT1G22080,AT1G29350,AT1G22080,Transposed<16MYA,1,1,yes,no,NA,1.688053221,0.409332141,4.123920536,ORTHO002083,NA,26,NA,26,?,?
AT1G29840/AT3G47560,AT1G29840,AT3G47560,Transposed<16MYA,3,3,no,no,NA,0.095173324,0.266696572,0.356859946,ORTHO003018,NA,6464,NA,6464,?,?
AT1G29960/AT1G23465,AT1G29960,AT1G23465,Transposed<16MYA,1,1,no,no,NA,0.037424244,0.094817622,0.394697142,ORTHO002192,ORTHO002192,8128,8128,8128,?,?
AT1G30350/AT1G11920,AT1G30350,AT1G11920,Transposed<16MYA,2,2,no,no,NA,0.171688233,0.371554548,0.462080827,NA,NA,NA,NA,NA,?,?
AT1G30530/AT5G17030,AT1G30530,AT5G17030,Transposed<16MYA,1,1,no,no,NA,0.190506687,0.480695751,0.396314482,ORTHO000922,ORTHO000922,8495,8495,8495,?,?
AT1G30925/AT1G33020,AT1G30925,AT1G33020,Transposed<16MYA,0,0,no,no,NA,0.556367835,0.62243359,0.893858948,NA,NA,NA,NA,NA,?,?
AT1G31320/AT1G36000,AT1G31320,AT1G36000,Transposed<16MYA,1,1,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G31740/AT5G20710,AT1G31740,AT5G20710,Transposed<16MYA,1,1,no,no,NA,0.251020288,1.573054339,0.15957509,NA,NA,NA,NA,NA,?,?
AT1G31810/AT1G42980,AT1G31810,AT1G42980,Transposed<16MYA,3,3,no,no,NA,0.825723923,0.134681585,6.130934108,ORTHO000309_3,NA,5289,NA,5289,?,?
AT1G31840/AT1G62670,AT1G31840,AT1G62670,Transposed<16MYA,2,2,no,no,NA,1.004802244,1.301259341,0.772176777,NA,NA,NA,NA,NA,?,?
AT1G31880/AT2G21030,AT1G31880,AT2G21030,Transposed<16MYA,3,3,no,no,NA,0.056003694,0.071112444,0.787537178,ORTHO004438,NA,1099,NA,1099,?,?
AT1G31950/AT3G14520,AT1G31950,AT3G14520,Transposed<16MYA,3,3,no,no,NA,0.100729541,0.263548415,0.382205072,NA,NA,NA,NA,NA,?,?
AT1G32020/AT5G44940,AT1G32020,AT5G44940,Transposed<16MYA,1,0,no,no,NA,0.609585001,0.344601835,1.768954598,NA,NA,NA,NA,NA,?,?
AT1G32140/AT3G19880,AT1G32140,AT3G19880,Transposed<16MYA,0,0,no,no,NA,0.337379828,0.449251005,0.750982912,NA,NA,NA,NA,NA,?,?
AT1G32280/AT5G56480,AT1G32280,AT5G56480,Transposed<16MYA,0,0,no,no,NA,0.098855317,0.435772412,0.226850792,NA,NA,NA,NA,NA,?,?
AT1G32375/AT5G56390,AT1G32375,AT5G56390,Transposed<16MYA,1,1,no,no,NA,0.291062302,0.571605039,0.509201778,NA,NA,NA,NA,NA,?,?
AT1G32420/AT5G65850,AT1G32420,AT5G65850,Transposed<16MYA,1,1,no,no,NA,0.761812266,1.222379641,0.623220676,NA,NA,NA,NA,NA,?,?
AT1G32430/AT3G16580,AT1G32430,AT3G16580,Transposed<16MYA,0,0,no,no,NA,0.325371535,0.438615828,0.741814395,NA,NA,NA,NA,NA,?,?
AT1G32660/AT1G30780,AT1G32660,AT1G30780,Transposed<16MYA,1,1,no,no,NA,0.732618584,0.726991678,1.007739986,NA,NA,NA,NA,NA,?,?
AT1G32880/AT5G49310,AT1G32880,AT5G49310,Transposed<16MYA,1,1,no,no,NA,0.499499584,0.191899641,2.602920895,NA,NA,NA,NA,NA,?,?
AT1G32910/AT1G78990,AT1G32910,AT1G78990,Transposed<16MYA,2,2,no,no,NA,0.10219866,0.678150169,0.150702108,ORTHO001361,ORTHO001361,8279,8279,8279,?,?
AT1G32990/AT5G51610,AT1G32990,AT5G51610,Transposed<16MYA,1,1,no,no,NA,0.145797563,0.339535191,0.429403392,ORTHO008286,NA,5666,NA,5666,?,?
AT1G33220/AT5G20330,AT1G33220,AT5G20330,Transposed<16MYA,0,0,no,no,NA,0.061643349,0.514005952,0.119927307,ORTHO001057_1,ORTHO001057_1,7668,7668,7668,?,?
AT1G33390/AT3G26560,AT1G33390,AT3G26560,Transposed<16MYA,3,2,no,yes,NA,1.214979426,1.576755708,0.770556542,ORTHO005228,NA,8953,NA,8953,?,?
AT1G33520/AT4G25020,AT1G33520,AT4G25020,Transposed<16MYA,3,3,yes,no,NA,0.240872912,0.633201863,0.380404616,ORTHO005511,ORTHO005511,3842,3842,3842,?,?
AT1G33540/AT3G10450,AT1G33540,AT3G10450,Transposed<16MYA,2,2,no,no,NA,0.244448582,0.773098756,0.316193216,NA,NA,NA,NA,NA,?,?
AT1G33607/AT5G08315,AT1G33607,AT5G08315,Transposed<16MYA,0,0,no,no,NA,0.097449193,0.115208588,0.845850076,NA,NA,NA,NA,NA,?,?
AT1G33680/AT5G50940,AT1G33680,AT5G50940,Transposed<16MYA,3,3,no,no,NA,NA,NA,NA,ORTHO005240,NA,3477,NA,3477,?,?
AT1G33750/AT3G14490,AT1G33750,AT3G14490,Transposed<16MYA,1,1,no,no,NA,0.273241417,0.599658377,0.455661803,NA,NA,NA,NA,NA,?,?
AT1G33850/AT5G43640,AT1G33850,AT5G43640,Transposed<16MYA,1,1,no,no,NA,0.037791369,0.055839734,0.676782765,NA,NA,NA,NA,NA,?,?
AT1G34245/AT1G71866,AT1G34245,AT1G71866,Transposed<16MYA,1,1,no,no,NA,0.832249288,1.075824556,0.773592017,ORTHO008233,NA,7902,NA,7902,?,?
AT1G34290/AT1G24650,AT1G34290,AT1G24650,Transposed<16MYA,0,0,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G34480/AT3G21210,AT1G34480,AT3G21210,Transposed<16MYA,2,2,no,no,NA,0.473321394,0.764963298,0.618750462,NA,NA,NA,NA,NA,?,?
AT1G34540/AT3G56630,AT1G34540,AT3G56630,Transposed<16MYA,3,3,no,no,NA,0.05679721,0.267630165,0.212222751,ORTHO001652,ORTHO001652,8396,8396,8396,?,?
AT1G34550/AT3G15750,AT1G34550,AT3G15750,Transposed<16MYA,3,3,yes,no,NA,NA,NA,NA,ORTHO005890,ORTHO004468,2086,5308,NA,?,?
AT1G34575/AT1G30710,AT1G34575,AT1G30710,Transposed<16MYA,1,1,no,no,NA,0.074515789,0.591365774,0.126006259,NA,NA,NA,NA,NA,?,?
AT1G34650/AT5G17320,AT1G34650,AT5G17320,Transposed<16MYA,2,1,no,no,NA,0.185249762,0.329646872,0.561964262,NA,NA,NA,NA,NA,?,?
AT1G35610/AT3G13760,AT1G35610,AT3G13760,Transposed<16MYA,2,2,no,no,NA,0.21766486,0.569839986,0.381975406,NA,NA,NA,NA,NA,?,?
AT1G35850/AT5G59280,AT1G35850,AT5G59280,Transposed<16MYA,1,1,no,no,NA,0.090306017,0.097801125,0.923363785,NA,NA,NA,NA,NA,?,?
AT1G36020/AT1G35530,AT1G36020,AT1G35530,Transposed<16MYA,1,1,no,no,NA,NA,NA,NA,NA,ORTHO005196,NA,8683,8683,?,?
AT1G41880/AT3G55750,AT1G41880,AT3G55750,Transposed<16MYA,2,2,yes,yes,NA,0.003957793,0.065543867,0.060383878,NA,ORTHO002026,NA,4708,4708,?,?
AT1G41920/AT4G09660,AT1G41920,AT4G09660,Transposed<16MYA,0,0,no,no,NA,0.25688004,0.749982561,0.342514684,NA,NA,NA,NA,NA,?,?
AT1G42560/AT2G33670,AT1G42560,AT2G33670,Transposed<16MYA,0,0,no,no,NA,0.078330517,0.858812372,0.091207952,NA,NA,NA,NA,NA,?,?
AT1G42710/AT4G09660,AT1G42710,AT4G09660,Transposed<16MYA,0,0,no,no,NA,0.670994986,0.37024969,1.812276969,NA,NA,NA,NA,NA,?,?
AT1G43170/AT1G61580,AT1G43170,AT1G61580,Transposed<16MYA,3,3,yes,yes,NA,0.096717642,1.24709653,0.077554254,ORTHO000983,ORTHO000983,1889,1889,1889,?,?
AT1G43700/AT2G21235,AT1G43700,AT2G21235,Transposed<16MYA,3,1,yes,no,NA,1.199277386,1.208974769,0.991978837,ORTHO003438,NA,1798,NA,1798,?,?
AT1G43910/AT4G05370,AT1G43910,AT4G05370,Transposed<16MYA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G44010/AT1G15610,AT1G44010,AT1G15610,Transposed<16MYA,0,0,no,no,NA,0.603954497,0.600920291,1.005049266,NA,NA,NA,NA,NA,?,?
AT1G44080/AT4G35733,AT1G44080,AT4G35733,Transposed<16MYA,0,0,no,no,NA,0.339139806,0.563419832,0.601930898,NA,NA,NA,NA,NA,?,?
AT1G44224/AT3G50570,AT1G44224,AT3G50570,Transposed<16MYA,0,0,no,no,NA,0.286505476,1.005912607,0.284821439,NA,NA,NA,NA,NA,?,?
AT1G44820/AT1G44180,AT1G44820,AT1G44180,Transposed<16MYA,3,3,yes,no,NA,0.074235648,0.35221597,0.210767411,NA,NA,NA,NA,NA,?,?
AT1G44910/AT3G19670,AT1G44910,AT3G19670,Transposed<16MYA,2,2,no,no,NA,0.551259291,2.6162181,0.210708462,ORTHO002156,ORTHO002156,3040,3040,3040,?,?
AT1G44980/AT4G03930,AT1G44980,AT4G03930,Transposed<16MYA,0,0,no,no,NA,0.151088045,0.137311727,1.100328782,NA,ORTHO002514,NA,8914,8914,?,?
AT1G45063/AT4G01380,AT1G45063,AT4G01380,Transposed<16MYA,1,0,no,no,NA,0.407439942,0.469407528,0.86798766,NA,NA,NA,NA,NA,?,?
AT1G45190/AT3G11990,AT1G45190,AT3G11990,Transposed<16MYA,0,0,no,no,NA,0.037751731,0.108832547,0.34687905,NA,NA,NA,NA,NA,?,?
AT1G45191/AT4G22100,AT1G45191,AT4G22100,Transposed<16MYA,0,0,no,no,NA,0.139039449,0.47456812,0.292981015,ORTHO000353_1,ORTHO000353_1,9029,9029,9029,?,?
AT1G45248/AT2G40020,AT1G45248,AT2G40020,Transposed<16MYA,2,2,no,no,NA,1.008132428,0.681448074,1.479397281,NA,NA,NA,NA,NA,?,?
AT1G45332/AT2G45030,AT1G45332,AT2G45030,Transposed<16MYA,2,2,no,no,NA,0.005228779,0.095604135,0.054691979,ORTHO001242_1,ORTHO001242_1,3891,3891,3891,?,?
AT1G45616/AT3G11010,AT1G45616,AT3G11010,Transposed<16MYA,2,1,no,no,NA,0.499934418,1.427180354,0.350295193,NA,NA,NA,NA,NA,?,?
AT1G46408/AT5G04640,AT1G46408,AT5G04640,Transposed<16MYA,0,0,no,no,NA,0.39590574,0.739973257,0.535027091,NA,NA,NA,NA,NA,?,?
AT1G47056/AT4G07400,AT1G47056,AT4G07400,Transposed<16MYA,3,3,no,no,NA,0.33663035,1.505455167,0.223607024,ORTHO001026,ORTHO001026,370,370,370,?,?
AT1G47200/AT5G27940,AT1G47200,AT5G27940,Transposed<16MYA,3,3,yes,no,NA,0.408663483,0.639244024,0.639291831,ORTHO003454,NA,1320,NA,1320,?,?
AT1G47330/AT1G03270,AT1G47330,AT1G03270,Transposed<16MYA,3,3,no,no,NA,0.51075501,2.451908058,0.208309201,ORTHO001916,ORTHO001481,4985,2138,NA,?,?
AT1G47370/AT2G03300,AT1G47370,AT2G03300,Transposed<16MYA,1,0,no,no,NA,0.353977038,0.732061194,0.483534766,NA,NA,NA,NA,NA,?,?
AT1G47390/AT3G16580,AT1G47390,AT3G16580,Transposed<16MYA,0,0,no,no,NA,0.282007498,0.441253193,0.639105852,NA,NA,NA,NA,NA,?,?
AT1G47600/AT1G51470,AT1G47600,AT1G51470,Transposed<16MYA,2,2,yes,yes,NA,0.013405762,0.058143916,0.230561738,NA,NA,NA,NA,NA,?,?
AT1G47620/AT4G39500,AT1G47620,AT4G39500,Transposed<16MYA,3,1,no,no,NA,0.240169529,0.669973813,0.358475995,NA,NA,NA,NA,NA,?,?
AT1G47710/AT1G51330,AT1G47710,AT1G51330,Transposed<16MYA,1,1,yes,no,NA,0.840950234,0.55090614,1.5264855,ORTHO002238,NA,9086,NA,9086,?,?
AT1G47710/AT1G63280,AT1G47710,AT1G63280,Transposed<16MYA,1,1,yes,no,NA,0.677513549,0.26057517,2.600069483,ORTHO002238,NA,9086,NA,9086,?,?
AT1G47710/AT2G14540,AT1G47710,AT2G14540,Transposed<16MYA,1,1,yes,no,NA,0.431881202,1.320573715,0.327040586,ORTHO002238,NA,9086,NA,9086,?,?
AT1G47710/AT3G45220,AT1G47710,AT3G45220,Transposed<16MYA,1,1,yes,no,NA,0.320056112,0.947202612,0.337896146,ORTHO002238,NA,9086,NA,9086,?,?
AT1G47710/AT2G26390,AT1G47710,AT2G26390,Transposed<16MYA,3,3,yes,yes,NA,0.330857277,1.059604562,0.312245991,ORTHO002238,NA,9086,NA,9086,?,?
AT1G47710/AT2G25240,AT1G47710,AT2G25240,Transposed<16MYA,4,4,yes,no,NA,0.330468735,1.111143384,0.297413223,ORTHO002238,NA,9086,NA,9086,?,?
AT1G47760/AT3G66656,AT1G47760,AT3G66656,Transposed<16MYA,1,1,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G48060/AT1G50870,AT1G48060,AT1G50870,Transposed<16MYA,0,0,no,no,NA,0.374418883,0.456499651,0.820195332,NA,NA,NA,NA,NA,?,?
AT1G48145/AT1G50750,AT1G48145,AT1G50750,Transposed<16MYA,0,0,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G48150/AT5G27130,AT1G48150,AT5G27130,Transposed<16MYA,2,2,no,no,NA,0.41195773,1.136098986,0.362607251,NA,NA,NA,NA,NA,?,?
AT1G48900/AT5G49500,AT1G48900,AT5G49500,Transposed<16MYA,3,3,yes,no,NA,0.076897937,0.427154481,0.180023717,ORTHO002008,ORTHO002008,1910,1910,1910,?,?
AT1G48910/AT1G21430,AT1G48910,AT1G21430,Transposed<16MYA,0,0,no,no,No,0.423476794,1.712216097,0.247326722,ORTHO000606,ORTHO000606,8353,8353,8353,?,?
AT1G48920/AT5G51730,AT1G48920,AT5G51730,Transposed<16MYA,3,3,no,no,NA,1.001111237,0.635284615,1.575846814,NA,NA,NA,NA,NA,B,?
AT1G49120/AT1G12890,AT1G49120,AT1G12890,Transposed<16MYA,1,1,no,no,NA,1.157264807,1.418213449,0.816001856,NA,NA,NA,NA,NA,?,?
AT1G49360/AT1G57790,AT1G49360,AT1G57790,Transposed<16MYA,3,3,yes,no,NA,0.788824366,0.984616699,0.801148677,NA,NA,NA,NA,NA,?,?
AT1G49530/AT3G20160,AT1G49530,AT3G20160,Transposed<16MYA,3,3,no,no,NA,0.184919238,0.656858007,0.281520871,NA,NA,NA,NA,NA,?,?
AT1G49610/AT3G18150,AT1G49610,AT3G18150,Transposed<16MYA,1,1,no,no,NA,0.954055875,0.758915491,1.257130584,NA,NA,NA,NA,NA,?,?
AT1G49740/AT1G13680,AT1G49740,AT1G13680,Transposed<16MYA,1,1,no,no,NA,0.443808049,2.602491159,0.17053201,ORTHO001889,ORTHO003426,3457,6127,NA,B,?
AT1G49790/AT2G43440,AT1G49790,AT2G43440,Transposed<16MYA,2,2,no,no,NA,0.639688779,0.64409351,0.993161348,NA,NA,NA,NA,NA,?,?
AT1G49920/AT1G64255,AT1G49920,AT1G64255,Transposed<16MYA,0,0,no,no,NA,0.334981666,0.510958446,0.655594732,NA,NA,NA,NA,NA,?,?
AT1G50030/AT5G40820,AT1G50030,AT5G40820,Transposed<16MYA,3,3,no,no,NA,1.452100184,1.812464321,0.801174493,ORTHO002740,ORTHO009030,7241,6833,NA,?,?
AT1G50250/AT5G42270,AT1G50250,AT5G42270,Transposed<16MYA,2,2,no,no,NA,0.079344357,1.047041848,0.075779547,NA,NA,NA,NA,NA,?,?
AT1G50270/AT2G13600,AT1G50270,AT2G13600,Transposed<16MYA,2,2,no,no,NA,0.699552037,1.784833433,0.391942477,NA,ORTHO007833,NA,4617,4617,?,?
AT1G50360/AT1G42680,AT1G50360,AT1G42680,Transposed<16MYA,1,1,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,?
AT1G50390/AT1G06020,AT1G50390,AT1G06020,Transposed<16MYA,2,2,no,no,NA,0.086036933,0.238930361,0.360092089,NA,ORTHO002291,NA,700,700,?,?
AT1G50410/AT3G16600,AT1G50410,AT3G16600,Transposed<16MYA,3,3,no,no,NA,0.353866852,0.447316606,0.791088117,ORTHO000837_1,ORTHO000837_1,2324,2324,2324,B,?
AT1G50500/AT1G50970,AT1G50500,AT1G50970,Transposed<16MYA,3,3,yes,no,NA,0.190090005,0.28568747,0.665377466,ORTHO007057,ORTHO007057,5776,5776,5776,?,?
AT1G50580/AT5G53990,AT1G50580,AT5G53990,Transposed<16MYA,4,4,no,no,NA,0.209947211,1.051410051,0.199681571,NA,NA,NA,NA,NA,?,?
AT1G50690/AT5G05040,AT1G50690,AT5G05040,Transposed<16MYA,0,0,no,no,NA,0.722765128,1.344366847,0.537624927,NA,NA,NA,NA,NA,?,?
AT1G50780/AT5G27130,AT1G50780,AT5G27130,Transposed<16MYA,3,3,no,no,NA,0.72785234,1.146396369,0.63490461,NA,NA,NA,NA,NA,?,?
AT1G50920/AT1G10300,AT1G50920,AT1G10300,Transposed<16MYA,3,3,no,no,NA,0.129164725,0.709206402,0.182125718,ORTHO001737,ORTHO001737,5459,5459,5459,?,?
AT1G51150/AT1G65630,AT1G51150,AT1G65630,Transposed<16MYA,1,1,no,no,NA,0.694141802,0.408235958,1.700344589,NA,ORTHO004186,NA,9041,9041,?,?
AT1G51370/AT5G53635,AT1G51370,AT5G53635,Transposed<16MYA,1,1,no,no,NA,0.47104988,0.689756122,0.682922362,NA,NA,NA,NA,NA,?,?
AT1G51430/AT3G28370,AT1G51430,AT3G28370,Transposed<16MYA,3,3,yes,no,NA,0.688980682,0.481946176,1.42958014,NA,ORTHO010511,NA,8678,8678,?,?
AT1G51480/AT1G15890,AT1G51480,AT1G15890,Transposed<16MYA,2,2,no,no,NA,0.218669831,0.525623599,0.416019812,NA,NA,NA,NA,NA,?,?
AT1G51900/AT2G14830,AT1G51900,AT2G14830,Transposed<16MYA,1,1,no,no,NA,0.570424079,0.78409155,0.727496782,NA,NA,NA,NA,NA,?,?
AT1G52270/AT4G28310,AT1G52270,AT4G28310,Transposed<16MYA,3,3,no,no,NA,0.145942573,0.205638336,0.709705087,NA,NA,NA,NA,NA,?,?
AT1G52940/AT2G18130,AT1G52940,AT2G18130,Transposed<16MYA,0,0,no,no,NA,0.117175215,0.191099064,0.613164778,NA,NA,NA,NA,NA,?,?
AT1G52970/AT3G11990,AT1G52970,AT3G11990,Transposed<16MYA,0,0,no,no,NA,0.527549005,1.146953805,0.459956629,NA,NA,NA,NA,NA,?,?
AT1G53350/AT1G58390,AT1G53350,AT1G58390,Transposed<16MYA,1,1,no,no,NA,0.351651995,0.950072036,0.370131929,NA,NA,NA,NA,NA,?,?
AT1G53510/AT4G01595,AT1G53510,AT4G01595,Transposed<16MYA,3,3,no,no,NA,0.600193317,0.095932278,6.256427216,NA,NA,NA,NA,NA,?,?
AT1G53550/AT5G65850,AT1G53550,AT5G65850,Transposed<16MYA,1,1,no,no,NA,0.514198345,0.825336206,0.623016828,NA,NA,NA,NA,NA,?,?
AT1G53570/AT1G63700,AT1G53570,AT1G63700,Transposed<16MYA,2,2,yes,yes,NA,0.673703159,1.145734941,0.588009613,ORTHO003023,ORTHO001412,606,501,NA,?,?
AT1G54250/AT3G59600,AT1G54250,AT3G59600,Transposed<16MYA,2,2,no,yes,NA,0.017875722,0.310481848,0.057574129,ORTHO005605,ORTHO005605,5657,5657,5657,?,?
AT1G54300/AT3G05770,AT1G54300,AT3G05770,Transposed<16MYA,1,1,no,no,NA,0.072849438,0.06157877,1.183028476,NA,NA,NA,NA,NA,?,?
AT1G54320/AT3G12740,AT1G54320,AT3G12740,Transposed<16MYA,2,2,yes,yes,NA,0.086126279,0.740860874,0.116251623,ORTHO002061,ORTHO002061,170,170,170,?,?
AT1G54360/AT1G04950,AT1G54360,AT1G04950,Transposed<16MYA,2,2,no,no,NA,0.490923661,1.885874818,0.260316144,ORTHO002338,ORTHO002338,3170,3170,3170,?,?
AT1G54370/AT1G79610,AT1G54370,AT1G79610,Transposed<16MYA,2,2,yes,no,NA,0.129077376,1.694904523,0.076156134,ORTHO003801,ORTHO003801,6143,6143,6143,?,?
AT1G54380/AT2G42510,AT1G54380,AT2G42510,Transposed<16MYA,3,3,no,no,NA,0.481773718,0.483724181,0.99596782,ORTHO003936,ORTHO003936,8747,8747,8747,?,?
AT1G54400/AT2G27140,AT1G54400,AT2G27140,Transposed<16MYA,2,2,no,no,NA,0.9577589,1.215276837,0.788099362,NA,NA,NA,NA,NA,?,?
AT1G54440/AT5G35910,AT1G54440,AT5G35910,Transposed<16MYA,2,2,no,no,NA,0.320345927,0.633306607,0.505830705,ORTHO002085,ORTHO002085,1591,1591,1591,?,?
AT1G54460/AT5G28646,AT1G54460,AT5G28646,Transposed<16MYA,3,3,yes,no,NA,0.481335993,0.912078197,0.527735445,NA,NA,NA,NA,NA,?,B
AT1G54470/AT2G25470,AT1G54470,AT2G25470,Transposed<16MYA,2,2,no,no,NA,0.320331972,0.21631951,1.480827928,NA,NA,NA,NA,NA,?,?
AT1G54620/AT5G46980,AT1G54620,AT5G46980,Transposed<16MYA,1,1,no,no,NA,0.249922899,0.822902878,0.303708865,NA,NA,NA,NA,NA,?,?
AT1G54760/AT1G29962,AT1G54760,AT1G29962,Transposed<16MYA,0,0,no,no,NA,0.15923263,0.344712001,0.461929466,NA,NA,NA,NA,NA,?,?
AT1G54770/AT5G30495,AT1G54770,AT5G30495,Transposed<16MYA,2,2,no,yes,NA,0.050826848,0.213459426,0.238110113,NA,ORTHO006023,NA,4737,4737,?,?
AT1G54980/AT5G50030,AT1G54980,AT5G50030,Transposed<16MYA,2,1,no,no,NA,0.44485238,0.806998695,0.551242998,NA,NA,NA,NA,NA,?,?
AT1G55010/AT1G75830,AT1G55010,AT1G75830,Transposed<16MYA,3,2,no,no,NA,0.380771205,0.328246971,1.160014376,NA,NA,NA,NA,NA,?,?
AT1G55070/AT2G31470,AT1G55070,AT2G31470,Transposed<16MYA,0,0,no,no,NA,0.568247921,0.873331878,0.650666642,NA,NA,NA,NA,NA,?,?
AT1G55150/AT4G33370,AT1G55150,AT4G33370,Transposed<16MYA,1,1,yes,no,NA,0.758410652,1.646574949,0.460598925,ORTHO001608_2,ORTHO003112,8498,4733,NA,?,?
AT1G55460/AT5G51795,AT1G55460,AT5G51795,Transposed<16MYA,3,3,yes,no,NA,0.126212032,0.209028751,0.603802258,ORTHO004944,NA,8116,NA,8116,?,?
AT1G55500/AT5G61020,AT1G55500,AT5G61020,Transposed<16MYA,3,3,yes,no,NA,0.498122185,1.19638112,0.416357444,ORTHO001353,NA,1072,NA,1072,?,?
AT1G55700/AT1G55380,AT1G55700,AT1G55380,Transposed<16MYA,1,1,no,no,NA,0.431009905,1.107377032,0.389216944,NA,NA,NA,NA,NA,?,?
